STATO,DEAL NAME,DATA CREAZ.,PRIORITÀ,DEADLINE,LEAD T.,RESIDUI,AZIENDA,BDG CLIENTE,BDG DIBA,OWNER,PRODUCT M.,PRODOTTI,QUANTITÀ
Sviluppo Campione,26_GOLDEN POINT_fw26_beauty oct,15/01/2026,,2026-10-05,263,237,GOLDEN POINT,"€ 45.000,00",,Marco Penazzi,,BEAUTY,5000
Lead/Coltivazione,26_SORMA_Natale,16/01/2026,,2026-10-12,269,244,SORMA,"€ 35.000,00",,Marco Penazzi,,REGALI DI NATALE,1
Preventivo/negoziazione,25_Loro Piana_debranding,15/04/2025,,2026-10-12,545,244,Loro Piana,"€ 15.000,00",,Marco Penazzi,,,
Preventivo/negoziazione,25_MONDE_budgetART14,23/09/2025,,2026-10-12,384,244,MONDE,"€ 29.000,00",,Marco Penazzi,,,
Lead/Coltivazione,25_PETTENON Cosmetic_budgetART14,30/06/2025,,2026-10-24,481,256,PETTENON Cosmetic,"€ 84.850,00",,Marco Penazzi,,,
Sviluppo Campione,26_Vivienne Westwood _ prodotti vari,29/01/2026,medium,2026-10-31,275,263,Vivienne Westwood,"€ 20.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_VERALLIA_budget,16/01/2026,,2026-11-02,290,265,VERALLIA,"€ 42.000,00",,Marco Penazzi,,,
Preventivo/negoziazione,26_Unifarco DOLOMIA_Sacchetto,14/01/2026,,2026-11-03,293,266,UNIFARCO,"€ 110.500,00",,Marco Penazzi,,SACCHETTO,17000
Lead/Coltivazione,26_ACTIONAID,26/01/2026,medium,2026-12-31,339,324,ACTIONAID,"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,25_Costa Crociere,30/05/2025,,2026-12-31,580,324,Costa Crociere Foundation,"€ 70.000,00",,Marco Penazzi,,,
Lead/Coltivazione,26_Zanardi Fonderie_BUDGETART14,02/02/2026,,2026-12-31,332,324,Zanardi Fonderie,"€ 27.000,00",,Marco Penazzi,,,
